mode,APposition,UEposition,best_pilot_index,system_NMSE,UEs_NMSE
optimal,[25.+25.j],"(27.440675196366236+35.759468318620975j),(21.182739966945235+32.294705653332805j),(21.879360563134625+44.58865003910399j),(39.58625190413323+26.444745987645224j),(28.402228054696614+46.27983191463305j),(48.9309171116382+39.95792821083618j),(23.073968112646593+39.02645881432277j),(7.16766437045232+47.23344585247919j),(26.092416087503583+20.73309699952618j),(22.807516610827427+28.421697443432425j),(0.9394900218177571+30.881774853793853j),(47.18740392573121+34.091014955174174j),(17.9753950286893+21.851597689967072j)",0 0 0 0 0 1 1 1 0 0 1 0 1,6.739818914385538,0.8239612669883315 0.7497228539644842 0.9542007667575992 0.1466789642152989 0.9642474362402896 0.5828444288767817 0.06046599712896672 0.5444475580387855 0.3311027641202189 0.42175932094844637 0.4276511307917127 0.708474296093062 0.024262130221559985
optimal,[25.+25.j],"(20.8511002351287+36.0162246721079j),(19.838373711533496+26.940836700167846j),(20.95972572016474+34.26097501983797j),(1.3693796598963082+33.52337550892011j),(20.865240118356347+27.934491422287582j),(40.03722843377683+48.41307878596987j),(15.671208907962143+34.61613078346571j),(47.8944765075251+26.658264248650852j),(34.593855697523665+15.775781550303147j),(0.9144138672095903+37.507215747248374j),(49.443054445324734+37.40828271899197j),(5.161300328882101+22.39467630879526j),(45.42977515465478+14.680707418683975j)",0 1 1 0 1 1 0 0 1 0 0 1 0,6.35679792781386,0.17824632487753556 0.37401444063330824 0.29119359688579927 0.7593524353155201 0.405293285886963 0.9638535496299655 0.3693548284436101 0.4634200346652104 0.16664969323499568 0.8511567799730566 0.8533716237993082 0.5022503463234325 0.17864098814515428
optimal,[25.+25.j],"(21.799745107100186+1.2963115913945666j),(21.01839010437445+16.516741050193705j),(10.232431701892125+30.963548317533185j),(31.056691638464745+26.457104713851955j),(6.728997267246678+25.67890606328732j),(42.69876463197444+24.71184186909639j),(42.3280742678734+3.9822738504530495j),(21.406116379869474+4.826545783030628j),(6.357998585063873+29.837265448929788j),(11.015310353527985+17.49131425016496j),(23.389374229115013+10.087161313248266j),(25.261836000927456+19.344632555927966j),(39.68187272207885+29.000208943890332j)",0 0 1 0 0 1 1 0 0 0 1 0 0,6.429289757293743,0.9653423381896424 0.36113386036845285 0.18449076524279728 0.3085221398370369 0.8493917463856392 0.2434498978260119 0.2508884836441494 0.946054597518745 0.9250561538144746 0.27565315813066993 0.04104422303885347 0.22406168589640996 0.8542007074008612
optimal,[25.+25.j],"(27.539895128728777+35.40739113090524j),(44.647347717382736+44.8146544466719j),(6.279265523191812+10.362143906909338j),(1.4938105439283478+22.841661219735553j),(32.45720238073804+13.924364132398765j),(1.1990941188582682+27.9427043995441j),(12.962622345373271+20.755059850503482j),(22.022685883536973+7.843386923748163j),(27.232450901592237+39.015738225568356j),(19.39856287778244+46.81918249302152j),(48.79977112364669+33.61918379564068j),(32.67054512617681+27.892038119422548j),(18.078238153128908+11.252725241991596j)",0 1 1 1 0 0 0 0 1 1 1 0 1,5.621100778376519,0.28440767236104847 0.457906381078394 0.4014140712382601 0.2780538144231983 0.3364735280284883 0.8865163488937492 0.18840992103119214 0.7587619411052652 0.3776050527954127 0.8041950263065871 0.37103420823448396 0.10367901417911196 0.3726437987013286
optimal,[25.+25.j],"(48.35149195068384+27.361612458786116j),(48.81372273881209+0.31151276022949315j),(12.649118119172197+21.73957662022229j),(43.149661779961114+49.170033858765635j),(8.192112070234936+29.86669719664296j),(39.31529929675305+43.31446492908492j),(8.658271074797408+3.7474293506553513j),(36.66900837552849+20.422193007600736j),(26.395441170896017+46.8785791975471j),(7.911170359239971+27.26013258516064j),(26.22020400342367+31.880512206299684j),(19.845000145086633+31.195805677411155j),(38.370248354506195+8.948695502056541j)",0 0 0 1 0 0 0 1 0 1 1 1 1,5.56764200256345,0.7962323333467581 0.8158409640090278 0.169055579223519 0.9732245217650359 0.3684231334299505 0.3187356114447555 0.5386013319279888 0.18226918709711903 0.221480102102802 0.2858147238987857 0.1558275088413975 0.20234074072430241 0.5397962647520071
optimal,[25.+25.j],"(11.099658554486973+43.53661530886882j),(38.29539282401578+25.92089939364716j),(14.840025078811097+9.386061433062581j),(22.065461144797656+7.91549338563256j),(43.996851560063945+13.704323099611232j),(31.439395443974167+28.99189050947725j),(29.99645983124938+13.290955876775362j),(16.378197384436703+7.208215032671022j),(8.280643060063381+48.19652645339709j),(1.146654621954074+28.8831429064878j),(0.0821086358022638+25.773630595269676j),(43.524154350074156+46.13748069728349j),(0.11071062662217912+23.474418587878866j)",0 0 1 1 0 0 0 0 0 1 0 1 1,6.1883708816445555,0.8266414239171807 0.3702440300701192 0.24915160109208678 0.2258192325909495 0.37234400732524564 0.17021003481730312 0.32275584915924216 0.7801866194594403 0.9065839211077128 0.3962218735783384 0.8804266264918621 0.28152994139774856 0.40625572063732585
optimal,[25.+25.j],"(44.643007571800084+16.59899026505886j),(26.49086810964108+20.940371427832716j),(16.77039246366646+31.12597160980451j),(25.901820599963436+28.942930011307855j),(32.26775479477969+49.51121356867082j),(43.81338276033137+41.187971628526064j),(2.723725391117732+35.93186182820972j),(35.45658753905837+27.046842715126406j),(6.241208719030489+47.882364773483424j),(35.86379232266597+49.71037192109688j),(12.780702780041754+33.56547159696402j),(46.86747673224523+17.5904884269851j),(12.6817048735698+20.12362545183865j)",0 1 1 1 0 1 0 1 0 1 1 0 1,6.297894903614283,0.4379380601837164 0.3297416269928335 0.49803128690418186 0.3540361657310399 0.2003188203888504 0.945109424391239 0.20418711082699503 0.30718669160956213 0.5136990142137507 0.9686585693148099 0.7846807931484949 0.5547841936132947 0.19952314629551438
